date,코스피/코스닥,주택가격지수,건설공사비지수,국제상품가격-WTI원유,생산자물가지수-포틀랜드시멘트,국제상품가격-알루미늄,건축마감
2023-01-01,114.44,120.25,138.66,135.57,153.48,140.71,124.03
2023-02-01,113.87,119.31,139.1,133.45,153.48,136.27,124.5
2023-03-01,116.89,118.31,139.59,127.08,153.48,129.52,124.91
2023-04-01,118.05,117.4,140.1,137.09,153.48,131.87,125.23
2023-05-01,121.62,116.72,140.33,124.17,153.48,128.25,125.59
2023-06-01,121.01,116.43,140.23,121.81,153.48,123.22,125.97
2023-07-01,124.24,116.21,140.04,131.27,153.48,121.81,126.42
2023-08-01,120.64,116.14,140.08,140.97,153.48,120.44,126.59
2023-09-01,116.33,116.22,139.75,154.61,153.48,123.21,126.75
2023-10-01,107.5,116.28,139.17,148.08,157.04,123.76,127.05
2023-11-01,119.65,116.28,138.67,134.41,161.31,124.2,127.12
2023-12-01,125.31,116.19,138.48,124.77,162.48,123.63,127.3
2024-01-01,117.84,116.06,139.31,128.21,162.48,124.17,127.54
2024-02-01,124.7,115.97,139.84,134.03,162.48,122.92,127.81
2024-03-01,129.62,115.85,139.92,141.04,162.48,125.74,127.89
2024-04-01,127.04,115.81,140.49,147.87,162.48,140.95,128.62
